馬名,血統登録番号,性別,所属,調教師名,種牡馬名,母名,母の父名,馬主名,生産者名,毛色,生年月日,本賞金,収得賞金,前走馬体重,全成績1着数,全成績2着数,全成績3着数,全成績着外数,芝成績1着数,芝成績2着数,芝成績3着数,芝成績着外数,ダート成績1着数,ダート成績2着数,ダート成績3着数,ダート成績着外数,データ作成日,抹消,登録日,抹消日
エコロヴァレン,24100353,牡,美,矢野英一,ロジャーバローズ,ピサノルビー,ブライアンズタイム,原村正紀,坂牧場,鹿毛,240508,0,0,   0,0,0,0,0,0,0,0,0,0,0,0,0,250929,不在,250925,000000
エフォート,24100516,牡,栗,辻野泰之,ヘンリーバローズ,ネガイ,ルーラーシップ,石川達絵,白井牧場,鹿毛,240418,0,0,   0,0,0,0,0,0,0,0,0,0,0,0,0,250929,不在,250925,000000
テムファイア,24100560,牡,美,伊藤圭三,フィレンツェファイア,メリーウェザー,メジロベイリー,竹園正繼,シンボリ牧場,鹿毛,240507,0,0,   0,0,0,0,0,0,0,0,0,0,0,0,0,250929,不在,250925,000000
クライムザツリー,24100583,牡,美,和田正一,グレーターロンドン,ベルモントラハイナ,スウィフトカレント,和田牧場,スマイルファーム,鹿毛,240412,0,0,   0,0,0,0,0,0,0,0,0,0,0,0,0,260409,在厩,250925,000000
ヴィシュヌ,24100623,牡,栗,高橋一哉,キズナ,エトピリカ,キングカメハメハ,山田貢一,タバタファーム,鹿毛,240413,0,0,   0,0,0,0,0,0,0,0,0,0,0,0,0,250929,不在,250925,000000
テムリアルオー,24100945,牡,栗,小椋研介,リアルインパクト,テイエムカルメン,タイキシャトル,竹園正繼,日高テイエム牧場,青鹿,240306,0,0,   0,0,0,0,0,0,0,0,0,0,0,0,0,250929,不在,250925,000000
テムアメリカン,24100947,牡,栗,河嶋宏樹,アメリカンペイトリオット,テイエムノサッタ,パイロ,竹園正繼,日高テイエム牧場,鹿毛,240324,0,0,   0,0,0,0,0,0,0,0,0,0,0,0,0,250929,不在,250925,000000
テムスピード,24100948,牡,栗,鈴木孝志,ステルヴィオ,テイエムメロディー,アドマイヤムーン,竹園正繼,日高テイエム牧場,鹿毛,240219,0,0,   0,0,0,0,0,0,0,0,0,0,0,0,0,250929,不在,250925,000000
ルシェルノーブル,24101238,牡,栗,秋山真一,タリスマニック,ホウショウワールド,"Sky Classic",自由が丘サラブレッド倶楽部,U・M・A,黒鹿,240515,0,0,   0,0,0,0,0,0,0,0,0,0,0,0,0,250929,不在,250925,000000
ポッドスカイ,24101352,牡,美,稲垣幸雄,マテラスカイ,ドナライトニング,ロードカナロア,小川眞査雄,清水牧場,鹿毛,240410,0,0,   0,0,0,0,0,0,0,0,0,0,0,0,0,250929,不在,250925,000000
ポッドレーヴ,24101358,牡,美,平岩大典,ルヴァンスレーヴ,ポッドクヒオ,キングカメハメハ,小川眞査雄,清水牧場,鹿毛,240329,0,0,   0,0,0,0,0,0,0,0,0,0,0,0,0,260409,不在,250925,000000
ヒシヴァルハラ,24101410,牡,栗,上村洋行,キタサンブラック,ジングルベルロック,"Rock of Gibraltar","Hishi Partners",坂東牧場,鹿毛,240524,0,0,   0,0,0,0,0,0,0,0,0,0,0,0,0,260129,不在,250925,000000
スタペファチェーテ,24101414,牡,栗,飯田祐史,サリオス,デスパシート,パイロ,猪又晶介,坂東牧場,黒鹿,240223,0,0,   0,0,0,0,0,0,0,0,0,0,0,0,0,250929,不在,250925,000000
サノノソルジャー,24101608,牡,美,尾形和幸,グレーターロンドン,ナイトオブスターズ,"Sea The Stars",佐野信幸,絵笛牧場,栗毛,240313,0,0,   0,0,0,0,0,0,0,0,0,0,0,0,0,250929,不在,250925,000000
エコロガレル,24101684,牡,美,田村康仁,パイロ,ノーブルサンズ,ゴールドアリュール,原村正紀,ガーベラパークスタツド,黒鹿,240420,0,0,   0,0,0,0,0,0,0,0,0,0,0,0,0,250929,不在,250925,000000
ユイノエスポワール,24101709,牡,美,竹内正洋,ディスクリートキャット,サバンナチャンス,ダンカーク,由井健太郎,杵臼牧場,栗毛,240407,0,0,   0,0,0,0,0,0,0,0,0,0,0,0,0,250929,不在,250925,000000
ブラッドバローズ,24101722,牡,栗,杉山晴紀,サートゥルナーリア,パールズシャイン,ディープインパクト,猪熊広次,杵臼牧場,鹿毛,240213,0,0,   0,0,0,0,0,0,0,0,0,0,0,0,0,250929,不在,250925,000000
ゴルディアス,24101754,牡,栗,小崎憲　,ゴールドシップ,チャーチスクエア,ロードカナロア,フィールドレーシング,グランデファーム,栗毛,240204,0,0,   0,0,0,0,0,0,0,0,0,0,0,0,0,250929,不在,250925,000000
ダズリングキック,24101784,牡,美,竹内正洋,タイセイレジェンド,バレットドゥオール,オルフェーヴル,KICレーシング,笹島智則,栗毛,240229,0,0,   0,0,0,0,0,0,0,0,0,0,0,0,0,250929,不在,250925,000000
マイティドレイブン,24101948,牡,美,柄崎将寿,デクラレーションオブウォー,シェリーアンベル,ドゥラメンテ,宮崎俊也,辻牧場,鹿毛,240331,0,0,   0,0,0,0,0,0,0,0,0,0,0,0,0,250929,不在,250925,000000
ベルリオンドール,24101974,牡,栗,西村真幸,ブリックスアンドモルタル,ピンクライオネス,ディープインパクト,宮崎俊也,辻牧場,鹿毛,240318,0,0,   0,0,0,0,0,0,0,0,0,0,0,0,0,250929,不在,250925,000000
スパイダー,24102046,牡,栗,友道康夫,アドマイヤマーズ,シラバリー,"Street Cry",石川達絵,富田牧場,鹿毛,240308,0,0,   0,0,0,0,0,0,0,0,0,0,0,0,0,250929,不在,250925,000000
ガガインフェルノ,24102138,牡,美,村田一誠,ミスターメロディ,エアガガ,ジャングルポケット,フィールドレーシング,林孝輝,黒鹿,240218,0,0,   0,0,0,0,0,0,0,0,0,0,0,0,0,250929,不在,250925,000000
ベニーバローズ,24102264,牡,栗,渡辺薫彦,カラヴァッジオ,ニコールバローズ,ゼンノロブロイ,猪熊広次,三嶋牧場,芦毛,240228,0,0,   0,0,0,0,0,0,0,0,0,0,0,0,0,250929,不在,250925,000000
ピーターバローズ,24102278,牡,栗,松下武士,ヘンリーバローズ,ヘアキティー,"Wildcat Heir",猪熊広次,三嶋牧場,鹿毛,240330,0,0,   0,0,0,0,0,0,0,0,0,0,0,0,0,250929,不在,250925,000000
プレイヤ,24102312,牡,美,手塚貴久,コントレイル,ユーヴェットシー,Bodemeister,藤田晋,三嶋牧場,青鹿,240420,0,0,   0,0,0,0,0,0,0,0,0,0,0,0,0,250929,不在,250925,000000
サンデーアダチ,24102313,牡,栗,辻野泰之,モーリス,ラヴアンドフェイス,Corinthian,柳田悠岐,三嶋牧場,栗毛,240229,0,0,   0,0,0,0,0,0,0,0,0,0,0,0,0,250929,不在,250925,000000
ダイメイビッグボス,24102354,牡,美,武井亮　,サートゥルナーリア,ミスチヴァスミスティ,"Into Mischief",宮本昇,宮内牧場,鹿毛,240321,0,0,   0,0,0,0,0,0,0,0,0,0,0,0,0,260323,不在,250925,000000
ポッドエステラ,24102381,牡,美,伊藤圭三,クリソベリル,ポッドギル,フリオーソ,小川眞査雄,山春牧場,鹿毛,240330,0,0,   0,0,0,0,0,0,0,0,0,0,0,0,0,260402,不在,250925,000000
ベアビッグバン,24102394,牡,栗,河嶋宏樹,モズアスコット,トモトモリバー,ブラックタイド,熊木浩,秋場牧場,鹿毛,240306,0,0,   0,0,0,0,0,0,0,0,0,0,0,0,0,250929,不在,250925,000000
テムスキー,24102430,牡,栗,高橋一哉,ホッコータルマエ,ホワイトフーガ,クロフネ,竹園正繼,梅田牧場,芦毛,240518,0,0,   0,0,0,0,0,0,0,0,0,0,0,0,0,250929,不在,250925,000000
スパーキー,24102556,牡,美,加藤士津,コパノリッキー,サイモンベラーノ,エスケンデレヤ,石川達絵,高昭牧場,栗毛,240304,0,0,   0,0,0,0,0,0,0,0,0,0,0,0,0,250929,不在,250925,000000
ベアオーディン,24102577,牡,美,松尾卓哉,シルバーステート,フジインザスカイ,ディープスカイ,熊木浩,高昭牧場,黒鹿,240318,0,0,   0,0,0,0,0,0,0,0,0,0,0,0,0,260305,不在,250925,000000
ユイノガルベス,24102671,牡,美,深山雅史,オメガパフューム,レッドペルル,ディープインパクト,由井健太郎,大北牧場,鹿毛,240328,0,0,   0,0,0,0,0,0,0,0,0,0,0,0,0,250929,不在,250925,000000
ユイノキボウドーリ,24102981,牡,美,深山雅史,タワーオブロンドン,タイセイビビッド,ヴィクトワールピサ,由井健太郎,柏木一則,栗毛,240415,0,0,   0,0,0,0,0,0,0,0,0,0,0,0,0,250929,不在,250925,000000
バルフェーヴル,24103010,牡,栗,河嶋宏樹,オルフェーヴル,イイゾ,ロードカナロア,田中真史,川島牧場,栗毛,240511,0,0,   0,0,0,0,0,0,0,0,0,0,0,0,0,250929,不在,250925,000000
ユイノキャッツアイ,24103015,牡,美,深山雅史,カリフォルニアクローム,ジュリアヴィーナス,ジャスタウェイ,由井健太郎,川島牧場,栗毛,240311,0,0,   0,0,0,0,0,0,0,0,0,0,0,0,0,260406,在厩,250925,000000
テムロンドン,24103220,牡,栗,宮地貴稔,タワーオブロンドン,アポロプリンセス,カネヒキリ,竹園正繼,タニグチ牧場,鹿毛,240522,0,0,   0,0,0,0,0,0,0,0,0,0,0,0,0,250929,不在,250925,000000
ツーハーツ,24103368,牡,栗,寺島良　,スワーヴリチャード,スタークォーツ,メイショウボーラー,山口正行,新冠伊藤牧場,黒鹿,240318,0,0,   0,0,0,0,0,0,0,0,0,0,0,0,0,250929,不在,250925,000000
ケイアイフェラーラ,24103396,牡,美,加藤征弘,アドマイヤマーズ,クインズチャパラ,ロードカナロア,ケイアイスタリオン,新冠橋本牧場,栗毛,240330,0,0,   0,0,0,0,0,0,0,0,0,0,0,0,0,250929,不在,250925,000000
ケイアイナポリ,24103397,牡,栗,西村真幸,ブリックスアンドモルタル,クインズラベンダー,ハーツクライ,クイーンズ・ランチ,新冠橋本牧場,栗毛,240331,0,0,   0,0,0,0,0,0,0,0,0,0,0,0,0,250929,不在,250925,000000
ケイアイトリノ,24103401,牡,栗,平田修　,モーリス,ケイアイガーベラ,"Smarty Jones",亀田和弘,新冠橋本牧場,黒鹿,240206,0,0,   0,0,0,0,0,0,0,0,0,0,0,0,0,250929,不在,250925,000000
ユイノアトヅケ,24103413,牡,美,竹内正洋,ミスターメロディ,ベッキー,ブラックタイド,由井健太郎,新冠橋本牧場,青鹿,240427,0,0,   0,0,0,0,0,0,0,0,0,0,0,0,0,250929,不在,250925,000000
テムグリーン,24103517,牡,栗,宮地貴稔,デクラレーションオブウォー,マーレグリーン,ジャングルポケット,竹園正繼,ハクレイファーム,栗毛,240209,0,0,   0,0,0,0,0,0,0,0,0,0,0,0,0,250929,不在,250925,000000
ステディプログレス,24103698,牡,美,田中剛　,マインドユアビスケッツ,ステディシュシュ,モーリス,亀岡和彦,発田文広,栗毛,240314,0,0,   0,0,0,0,0,0,0,0,0,0,0,0,0,250929,不在,250925,000000
ユイノネライウチ,24103734,牡,美,深山雅史,ミスターメロディ,オルネーラ,ダンカーク,由井健太郎,松浦牧場,芦毛,240317,0,0,   0,0,0,0,0,0,0,0,0,0,0,0,0,250929,不在,250925,000000
デニスバローズ,24103903,牡,栗,池江泰寿,オルフェーヴル,エイシンキルデア,"Kitten's Joy",猪熊広次,村田牧場,栗毛,240507,0,0,   0,0,0,0,0,0,0,0,0,0,0,0,0,250929,不在,250925,000000
ベルマジュニア,24104202,牡,栗,東田明士,リオンディーズ,サルタート,ゴールドアリュール,宮崎俊也,岡田牧場,鹿毛,240430,0,0,   0,0,0,0,0,0,0,0,0,0,0,0,0,250929,不在,250925,000000
マーブルアウティ,24104229,牡,栗,東田明士,デクラレーションオブウォー,マーブルフレンテ,キンシャサノキセキ,下村直,岡田牧場,鹿毛,240331,0,0,   0,0,0,0,0,0,0,0,0,0,0,0,0,250929,不在,250925,000000
サブジェクト,24104286,牡,栗,佐藤悠太,リアルスティール,マルーンエンブレム,オルフェーヴル,石川達絵,神垣道弘,鹿毛,240212,0,0,   0,0,0,0,0,0,0,0,0,0,0,0,0,250929,不在,250925,000000
エランヴィータ,24104312,牡,美,柄崎将寿,シャンハイボビー,アップトゥユー,サウスヴィグラス,野田努,グランド牧場,黒鹿,240401,0,0,   0,0,0,0,0,0,0,0,0,0,0,0,0,250929,不在,250925,000000
デーモンバローズ,24104499,牡,美,上原佑紀,キセキ,ナイアガラロール,"Bluegrass Cat",猪熊広次,静内フジカワ牧場,黒鹿,240418,0,0,   0,0,0,0,0,0,0,0,0,0,0,0,0,250929,不在,250925,000000
エコロテラ,24104541,牡,美,菊沢隆徳,ジャンダルム,レッドプリモ,ルーラーシップ,原村正紀,CRステーブル,鹿毛,240313,0,0,   0,0,0,0,0,0,0,0,0,0,0,0,0,250929,不在,250925,000000
ダイモンバローズ,24104615,牡,栗,大久保龍,ナダル,グーテデロワ,スペシャルウィーク,猪熊広次,田中裕之,鹿毛,240407,0,0,   0,0,0,0,0,0,0,0,0,0,0,0,0,250929,不在,250925,000000
バラッド,24104702,牡,栗,安田翔伍,カラヴァッジオ,ノーマルシー,ルーラーシップ,柳田悠岐,千代田牧場,芦毛,240319,0,0,   0,0,0,0,0,0,0,0,0,0,0,0,0,250929,不在,250925,000000
ポッドベローチェ,24104894,牡,栗,小林真也,サトノダイヤモンド,ハッシュエンジェルス,"Lope de Vega",小川眞査雄,藤川フアーム,鹿毛,240304,0,0,   0,0,0,0,0,0,0,0,0,0,0,0,0,250929,不在,250925,000000
テムスターオー,24104923,牡,栗,小椋研介,シニスターミニスター,アラピンタ,Medicean,竹園正繼,フジワラフアーム,鹿毛,240302,0,0,   0,0,0,0,0,0,0,0,0,0,0,0,0,250929,不在,250925,000000
バーンユアハート,24104962,牡,美,奥村武　,フィエールマン,リトルシャンブルズ,Shamardal,宮崎俊也,フジワラフアーム,鹿毛,240504,0,0,   0,0,0,0,0,0,0,0,0,0,0,0,0,250929,不在,250925,000000
ケイアイミラノ,24105076,牡,栗,小林真也,マクフィ,クインズミリセント,エンパイアメーカー,ケイアイスタリオン,松田牧場,鹿毛,240408,0,0,   0,0,0,0,0,0,0,0,0,0,0,0,0,250929,不在,250925,000000
マイクストーリー,24105289,牡,栗,杉山晴紀,Flightline,シャムロックローズ,"First Dude",藤田晋,ケイアイファーム,栗毛,240217,0,0,   0,0,0,0,0,0,0,0,0,0,0,0,0,250929,不在,250925,000000
ポッドハンター,24105355,牡,栗,前川恭子,ディスクリートキャット,シェクロエ,ノヴェリスト,小川眞査雄,下屋敷牧場,鹿毛,240402,0,0,   0,0,0,0,0,0,0,0,0,0,0,0,0,250929,不在,250925,000000
ユイノヘラクレス,24105474,牡,美,深山雅史,ホークビル,オマツリオジョウ,エイシンサンディ,由井健太郎,信田牧場,鹿毛,240407,0,0,   0,0,0,0,0,0,0,0,0,0,0,0,0,260406,在厩,250925,000000
ベアマグナム,24105503,牡,美,松尾卓哉,モズアスコット,キリエ,ブライアンズタイム,熊木浩,平野牧場,鹿毛,240428,0,0,   0,0,0,0,0,0,0,0,0,0,0,0,0,260305,不在,250925,000000
テムスタードン,24105506,牡,栗,河嶋宏樹,シニスターミニスター,ナムラナデシコ,フジキセキ,竹園正繼,平野牧場,鹿毛,240303,0,0,   0,0,0,0,0,0,0,0,0,0,0,0,0,250929,不在,250925,000000
トルヴァスト,24105633,牡,栗,須貝尚介,スマートファルコン,ギュイエンヌ,タニノギムレット,杉山忠国,明治牧場,鹿毛,240209,0,0,   0,0,0,0,0,0,0,0,0,0,0,0,0,250929,不在,250925,000000
インディシオ,24105637,牡,栗,高橋義忠,ハービンジャー,シャイニングスカイ,ディープインパクト,杉山忠国,明治牧場,鹿毛,240208,0,0,   0,0,0,0,0,0,0,0,0,0,0,0,0,250929,不在,250925,000000
ヴァルディソーレ,24105639,牡,美,斎藤誠　,モーリス,スカイキューティー,スペシャルウィーク,杉山忠国,明治牧場,鹿毛,240408,0,0,   0,0,0,0,0,0,0,0,0,0,0,0,0,250929,不在,250925,000000
オーサム,24105645,牡,栗,石坂公一,グレーターロンドン,マプチートカーユ,フレンチデピュティ,杉山忠国,明治牧場,鹿毛,240128,0,0,   0,0,0,0,0,0,0,0,0,0,0,0,0,250929,不在,250925,000000
フレイムオブキング,24105698,牡,美,稲垣幸雄,クリソベリル,キックオンガール,Vadamos,フィールドレーシング,レースホース牧場,鹿毛,240213,0,0,   0,0,0,0,0,0,0,0,0,0,0,0,0,250929,不在,250925,000000
クオックス,24105722,牡,美,青木孝文,サリオス,ミレナ,リーチザクラウン,琴浦諒,リトルブルーファーム,鹿毛,240323,0,0,   0,0,0,0,0,0,0,0,0,0,0,0,0,250929,不在,250925,000000
シャローオネスト,24105783,牡,栗,安田翔伍,ホットロッドチャーリー,エミーズスマイル,アグネスタキオン,SAレーシング,社台ファーム,黒鹿,240406,0,0,   0,0,0,0,0,0,0,0,0,0,0,0,0,250929,不在,250925,000000
ゴールデンオーク,24105906,牡,栗,池江泰寿,ロゴタイプ,スタートアップ,ハービンジャー,長谷川祐司,社台ファーム,栗毛,240219,0,0,   0,0,0,0,0,0,0,0,0,0,0,0,0,250929,不在,250925,000000
ポッドコーディア,24105931,牡,美,上原佑紀,コントレイル,ターフドンナ,Doyen,小川眞査雄,社台ファーム,青鹿,240304,0,0,   0,0,0,0,0,0,0,0,0,0,0,0,0,250929,不在,250925,000000
エコロラーダ,24105967,牡,栗,大久保龍,レイデオロ,ドリーフォンテイン,"Fastnet Rock",原村正紀,社台ファーム,鹿毛,240308,0,0,   0,0,0,0,0,0,0,0,0,0,0,0,0,250929,不在,250925,000000
ヒシレガシー,24106063,牡,栗,杉山晴紀,キタサンブラック,ラビットラン,Tapit,"Hishi Partners",社台ファーム,鹿毛,240501,0,0,   0,0,0,0,0,0,0,0,0,0,0,0,0,260129,不在,250925,000000
エコロメジャー,24106083,牡,栗,牧浦充徳,ニューイヤーズデイ,レイクキャリー,ダイワメジャー,原村正紀,社台ファーム,黒鹿,240329,0,0,   0,0,0,0,0,0,0,0,0,0,0,0,0,250929,不在,250925,000000
ドゥオアドゥノット,24106126,牡,栗,奥村豊　,ホットロッドチャーリー,アデレードヒル,ゴールドヘイロー,NYレーシング,ノーザンファーム,鹿毛,240203,0,0,   0,0,0,0,0,0,0,0,0,0,0,0,0,250929,不在,250925,000000
タイセイ,24106203,牡,栗,友道康夫,ルーラーシップ,ヴィルトゥース,ディープインパクト,石川達絵,ノーザンファーム,鹿毛,240212,0,0,   0,0,0,0,0,0,0,0,0,0,0,0,0,250929,不在,250925,000000
デュガピー,24106220,牡,美,宮田敬介,クリソベリル,エスメラルディーナ,"Harlan's Holiday",藤田晋,ノーザンファーム,鹿毛,240419,0,0,   0,0,0,0,0,0,0,0,0,0,0,0,0,250929,不在,250925,000000
シャローチャンプ,24106271,牡,栗,安田翔伍,インディチャンプ,ギエナー,"Redoute's Choice",SAレーシング,ノーザンファーム,鹿毛,240217,0,0,   0,0,0,0,0,0,0,0,0,0,0,0,0,260323,在厩,250925,000000
ミラクルミナクル,24106291,牡,栗,須貝尚介,シルバーステート,クロトノーナ,ルーラーシップ,宮崎俊也,ノーザンファーム,芦毛,240122,0,0,   0,0,0,0,0,0,0,0,0,0,0,0,0,250929,不在,250925,000000
ダイナマイク,24106368,牡,栗,中内田充,キタサンブラック,シンプリーラヴィシング,Laoban,藤田晋,ノーザンファーム,鹿毛,240311,0,0,   0,0,0,0,0,0,0,0,0,0,0,0,0,260326,在厩,250925,000000
アトランタ,24106380,牡,栗,高柳大輔,サートゥルナーリア,ジェラシー,ハービンジャー,近藤英子,ノーザンファーム,鹿毛,240118,0,0,   0,0,0,0,0,0,0,0,0,0,0,0,0,250929,不在,250925,000000
デュランバローズ,24106409,牡,栗,友道康夫,マインドユアビスケッツ,スペクトロライト,ディープインパクト,猪熊広次,ノーザンファーム,栗毛,240215,0,0,   0,0,0,0,0,0,0,0,0,0,0,0,0,250929,不在,250925,000000
オールシティキング,24106425,牡,美,手塚貴久,Flightline,セルフレスリー,"More Than Ready",藤田晋,ノーザンファーム,鹿毛,240429,0,0,   0,0,0,0,0,0,0,0,0,0,0,0,0,250929,不在,250925,000000
エコロナイン,24106427,牡,美,加藤征弘,"St Mark's Basilica",ソヴィエトキャッチ,"Catcher In The Rye",原村正紀,ノーザンファーム,鹿毛,240111,0,0,   0,0,0,0,0,0,0,0,0,0,0,0,0,260330,在厩,250925,000000
アトミックリーチ,24106508,牡,美,宮田敬介,コントレイル,パリスビキニ,Bernardini,藤田晋,ノーザンファーム,青鹿,240403,0,0,   0,0,0,0,0,0,0,0,0,0,0,0,0,250929,不在,250925,000000
ユメノカケラ,24106581,牡,美,上原佑紀,ルーラーシップ,ヘアケイリー,ディープインパクト,藤田晋,ノーザンファーム,黒鹿,240220,0,0,   0,0,0,0,0,0,0,0,0,0,0,0,0,250929,不在,250925,000000
ジャンゴッド,24106624,牡,栗,杉山晴紀,キタサンブラック,マーゴットディド,"Exceed And Excel",藤田晋,ノーザンファーム,鹿毛,240221,0,0,   0,0,0,0,0,0,0,0,0,0,0,0,0,250929,不在,250925,000000
エコロディオ,24106642,牡,美,手塚貴久,シスキン,ミルヴィオ,ディープインパクト,原村正紀,ノーザンファーム,鹿毛,240201,0,0,   0,0,0,0,0,0,0,0,0,0,0,0,0,250929,不在,250925,000000
アイデア,24106722,牡,栗,中内田充,ブリックスアンドモルタル,レイリオン,ダイワメジャー,石川達絵,ノーザンファーム,鹿毛,240129,0,0,   0,0,0,0,0,0,0,0,0,0,0,0,0,250929,不在,250925,000000
ルボワ,24106761,牡,栗,杉山佳明,ブリックスアンドモルタル,ワイルドラズベリー,ファルブラヴ,亀岡和彦,ノーザンファーム,鹿毛,240403,0,0,   0,0,0,0,0,0,0,0,0,0,0,0,0,250929,不在,250925,000000
エコログリフ,24106771,牡,栗,大久保龍,ミスターメロディ,ジェイビマロルカ,"J Be K",原村正紀,アスラン,鹿毛,240124,0,0,   0,0,0,0,0,0,0,0,0,0,0,0,0,250929,不在,250925,000000
アイディザーブ,24106777,牡,美,加藤征弘,サートゥルナーリア,ホーリーウーマン,Tawqeet,長谷川祐司,アスラン,黒鹿,240421,0,0,   0,0,0,0,0,0,0,0,0,0,0,0,0,250929,不在,250925,000000
イムヴァブル,24106812,牡,栗,高橋亮　,ルーラーシップ,ディープストーリー,ディープインパクト,猪又晶介,上水牧場,鹿毛,240423,0,0,   0,0,0,0,0,0,0,0,0,0,0,0,0,250929,不在,250925,000000
サノノファイター,24106814,牡,美,栗田徹　,グレーターロンドン,フライングニンバス,"Awesome Again",佐野信幸,上水牧場,鹿毛,240506,0,0,   0,0,0,0,0,0,0,0,0,0,0,0,0,250929,不在,250925,000000
リルフォークス,24106935,牡,美,上原博之,ブリックスアンドモルタル,リトルゲルダ,"Closing Argument",栗山良子,追分ファーム,芦毛,240226,0,0,   0,0,0,0,0,0,0,0,0,0,0,0,0,250929,不在,250925,000000
アージェルアイトン,24107016,牡,栗,橋口慎介,ルーラーシップ,スターズインヘヴン,ワークフォース,フィールドレーシング,社台コーポレーション白老ファーム,鹿毛,240414,0,0,   0,0,0,0,0,0,0,0,0,0,0,0,0,250929,不在,250925,000000
テムカラヴァ,24107084,牡,栗,畑端省吾,カラヴァッジオ,メイケイカリーナ,モーリス,竹園正繼,青藍牧場,芦毛,240327,0,0,   0,0,0,0,0,0,0,0,0,0,0,0,0,250929,不在,250925,000000
カーティス,24107151,牡,栗,杉山晴紀,サートゥルナーリア,グラディーヴァ,ハービンジャー,近藤英子,レイクヴィラファーム,黒鹿,240318,0,0,   0,0,0,0,0,0,0,0,0,0,0,0,0,250929,不在,250925,000000
ミラクルバローズ,24107152,牡,栗,石坂公一,ニューイヤーズデイ,サンドラバローズ,ディープインパクト,猪熊広次,レイクヴィラファーム,青鹿,240421,0,0,   0,0,0,0,0,0,0,0,0,0,0,0,0,250929,不在,250925,000000
リボンロード,24107154,牡,美,上原佑紀,リオンディーズ,ジュベルアリ,ディープインパクト,藤田晋,レイクヴィラファーム,青鹿,240418,0,0,   0,0,0,0,0,0,0,0,0,0,0,0,0,250929,不在,250925,000000
シャローショー,24107169,牡,栗,安田翔伍,リアルスティール,ミスミルドレッド,ルーラーシップ,SAレーシング,レイクヴィラファーム,鹿毛,240425,0,0,   0,0,0,0,0,0,0,0,0,0,0,0,0,250929,不在,250925,000000
ポッドトリガー,24107188,牡,美,蛯名正義,リアルスティール,ブギーダモーレ,"Rail Link",小川眞査雄,社台ファーム,鹿毛,240218,0,0,   0,0,0,0,0,0,0,0,0,0,0,0,0,250929,不在,250925,000000
エールドカナロア,24107228,牡,栗,上村洋行,ロードカナロア,リヴィエール,ハーツクライ,杉山忠国,明治牧場,青鹿,240218,0,0,   0,0,0,0,0,0,0,0,0,0,0,0,0,250929,不在,250925,000000
